Caso;Candidato;Ano;CodPart;PartCand;FamPart;ColigCand;PartColig;NumPartColig;Dom1;Dom2;Dom3;Dom4;Dom5;Dom6;Dom7;Cat0;Cat101;Cat103.1;Cat103.2;Cat104;Cat105;Cat106;Cat107;Cat108;Cat109;Cat110;Cat201.1;Cat201.2;Cat202.1;Cat202.2;Cat202.3;Cat202.4;Cat203;Cat204;Cat301;Cat302;Cat303;Cat304;Cat305.1;Cat305.2;Cat305.3;Cat305.5;Cat305.6;Cat401;Cat402;Cat403;Cat404;Cat405;Cat406;Cat407;Cat408;Cat409;Cat410;Cat411;Cat412;Cat413;Cat414;Cat415;Cat416.1;Cat416.2;Cat501;Cat502;Cat503;Cat504;Cat505;Cat506;Cat507;Cat601.1;Cat602.1;Cat602.2;Cat603;Cat604;Cat605.1;Cat605.2;Cat606.1;Cat606.2;Cat607.1;Cat607.2;Cat607.3;Cat608.1;Cat701;Cat702;Cat703.1;Cat703.2;Cat704;Cat705;Cat706;MerEst;ProgCons;Etnonat;Markeco;Planeco;Welfare;AutDem;RILE
10;Ciro Gomes;2002;180320;PPS;Partido Social Democrata;Frente Trabalhista;PPS, PDT e PTB;3;13.836;7.547;8.805;36.164;23.113;6.132;4.403;1.73;0;1.415;2.83;2.044;0.472;0.157;5.818;0.786;0;0.314;0.157;0.472;4.56;0;0.157;0.472;0.472;1.258;2.201;0.786;3.145;2.516;0.157;0;0;0;0;2.044;2.987;4.245;0.314;0;3.145;0.629;3.774;0;9.119;6.604;0.943;0.472;1.73;0;0;0.157;1.415;1.101;10.063;5.818;0.157;4.56;0;0.472;0;0.472;0;0;3.145;0.157;1.258;0.314;0.314;0;0;0;1.73;0;2.201;0;0.472;0;0;-7.547;-12.893;0.472;3.774;5.503;15.881;-4.245;-20.912
12;José Serra;2002;180310;PSDB;Partidos Conservadores;Grande Aliança; PSDB e PMDB;2;6.052;6.268;7.061;32.997;27.161;8.501;11.96;0.648;0;0.432;0.072;1.945;0;0.865;1.801;0.504;0.432;0;0.072;1.009;4.179;0;0.072;0;0.648;0.288;0.937;0.432;2.45;1.009;0.144;2.089;0;0;0;0.216;1.585;0.648;0.504;0.072;0;1.441;0.793;0.072;10.663;12.176;0.216;0.072;2.738;0;0;1.801;1.873;2.954;4.971;13.04;0.072;4.251;0;1.801;0;0;0.072;0.072;4.539;0;1.081;0;0.288;0.072;0.576;0;3.89;0.144;5.98;0;0;0.432;1.513;-10.375;-2.161;1.873;2.954;1.369;18.012;1.441;-10.591
13;Luiz Inácio Lula da Silva;2002;180230;PT;Partidos Socialistas;Coligação Lula Presidente; PT, PL, PCB, PMN e PC do B;5;5.051;6.061;10.956;42.113;25.408;3.963;6.449;0.155;0.078;0.078;1.709;0.855;0;0.233;0.622;1.088;0.389;0;0.233;0.466;3.963;0;0;0.078;1.243;0.078;3.497;0.233;5.361;1.554;0.155;0;0.155;0;0;0.544;0.544;3.807;2.253;1.01;0.078;0.544;2.253;0;14.452;7.071;0.389;1.709;2.564;0;0;4.895;1.321;0.932;9.557;9.946;0;3.652;0;0.466;0.078;0;0;0;1.554;0;1.632;0;0.233;0;0;0;4.429;0;1.554;0;0.155;0;0.311;-19.891;-8.78;0.466;3.108;6.449;19.503;-8.003;-21.989
14;Geraldo Alckmin;2006;180310;PSDB;Partidos Conservadores;Coligação por um Brasil Decente; PSDB e PFL;2;2.939;3.377;14.071;42.026;23.702;6.004;7.88;1.939;0;0.063;0;1.188;0.125;0.063;1.188;0.25;0.063;0;0.125;0.375;2.376;0;0;0;0.5;0;0.563;0;6.879;6.129;0.375;0;0.125;0;0;0.313;3.565;1.939;1.126;0;0.063;0.5;2.564;0;9.631;16.448;0.063;0.188;2.314;0;0;3.315;1.689;5.128;3.315;8.63;0;4.941;0;0.625;0.063;0;0;0;4.065;0;0.938;0;0.25;0;0.063;0;3.627;0.063;3.815;0.063;0;0.063;0.25;-8.63;-0.876;0.625;2.627;3.127;11.945;-4.44;-9.381
15;Heloísa Helena;2006;180231;PSOL;Partidos Socialistas;Frente de Esquerda; PSOL, PCB e PSTU;3;13.534;10.526;16.541;21.805;20.301;2.256;15.038;0;0;3.008;9.023;0;0.752;0;0;0;0;0.752;0;0;6.767;0;0;3.008;0.752;0;0;0;0.752;12.03;1.504;2.256;0;0;0;0;0;9.774;0;0;0;0;1.504;0.752;0.752;0;3.759;3.759;0;1.504;0;0;1.504;0;13.534;3.759;0;1.504;0;0;0;0;0;0;0;0;0;2.256;0;0;0;0;12.782;0;2.256;0;0;0;0;-23.308;-15.789;0;0;13.534;17.293;-19.549;-51.128
16;Luiz Inácio Lula da Silva;2006;180230;PT;Partidos Socialistas;A Força do Povo; PT, PCdoB e PRB;3;7.014;11.871;14.388;25.54;26.799;8.273;6.115;1.259;0;1.619;0.719;1.079;0;0.54;1.978;0.899;0.18;0;0;2.878;8.273;0;0;0.719;0;0;3.597;0.719;3.237;3.777;0.719;1.978;0.18;0;0.18;0;1.799;2.338;1.079;0.18;0.54;0.36;1.079;0;3.058;8.453;0.54;0.18;2.158;0;0;3.777;3.058;2.698;6.835;8.453;0;5.755;0;0.36;0;0;0.18;0.36;4.137;0.36;0;0.18;2.338;0;0.36;0;2.698;0;1.978;0;0;0.36;1.079;-12.77;-9.532;0.54;2.158;3.957;15.288;-10.971;-18.885
18;Dilma Rousseff;2010;180230;PT;Partidos Socialistas;Para o Brasil seguir mudando; PT, PMDB, PDT, PCdoB, PSB, PR, PRB, PSC, PTC e PTN;10;10.728;10.728;12.261;23.372;29.119;8.429;5.364;1.149;0;0.766;1.533;1.149;0;1.533;4.215;0.766;0.766;0;0.766;2.682;7.28;0;0;0;0;0;0.766;0;1.533;1.149;6.13;2.299;0.383;0;0;0;1.533;0.383;1.533;0;0;0.383;0;0;3.448;8.046;0.766;0.383;2.299;0;0;4.598;3.831;3.831;3.448;11.111;0;6.897;0;2.299;0;0;0;0;3.831;0;1.533;0.383;0.383;0;0;0;3.065;0;1.533;0;0.383;0;0.383;-14.559;-5.364;2.299;2.299;2.682;14.559;1.149;-13.793
17;José Serra;2010;180310;PSDB;Partidos Conservadores;Brasil Pode Mais; PSDB, DEM, PPS, PMN, PTdoB e PTB;6;0.834;4.423;10.189;40.79;29.768;7.288;6.708;5.547;0.036;0.109;0;0.218;0;0;0.218;0.254;0;0;0.29;0.616;2.792;0;0;0.109;0.544;0.073;1.487;0.218;5.656;1.849;0.689;0.29;0;0;0;0.616;2.175;2.792;0.87;0;0.073;0.508;3.735;0.073;4.423;21.755;0.29;0.254;1.051;0;0;2.175;5.112;3.481;3.988;10.841;0.435;5.91;0;0.689;0;0;0.508;0.109;4.278;0.036;0.798;0;0.435;0;0.399;0.036;1.378;0.109;3.445;0;0.254;0.798;0.725;-12.582;-5.294;1.233;1.668;3.952;14.83;-2.067;-11.893
19;Marina Silva;2010;180110;PV;Partido Ecológico;N.A.;N.A.;0;1.923;13.462;7.692;7.692;59.615;7.692;1.923;1.923;0;0;0;0;0;1.923;0;0;0;0;0;3.846;7.692;0;0;1.923;0;0;1.923;0;5.769;0;0;0;0;0;0;0;0;1.923;0;0;0;0;0;0;0;3.846;0;0;0;0;0;1.923;30.769;1.923;5.769;9.615;0;11.538;0;0;0;0;0;0;3.846;0;0;0;0;0;3.846;0;1.923;0;0;0;0;0;0;-13.462;-38.462;0;0;1.923;15.385;-11.538;-28.846
21;Aécio Neves;2014;180310;PSDB;Partidos Conservadores;Muda Brasil; PSDB, PMN, SD, DEM, PEN, PTN, PTB, PTC e PT do B;9;2.602;4.751;11.878;29.299;31.109;9.389;10.973;0.113;0.113;0;0;1.131;0;0;1.131;0;0.226;0;0.113;0.905;3.167;0;0;0.566;0;0;2.715;0;8.145;0;0.452;0.113;0.452;0;0;2.828;4.299;1.131;0.792;0;0.113;0.566;0.566;0;0.566;10.181;0;0;2.602;0;0;5.656;2.489;3.394;4.638;10.747;0.905;7.692;1.244;0.452;0.113;0;0;0;4.977;0;2.036;1.244;0.452;0;0;0.113;2.828;0;3.281;0;0.679;2.262;1.923;-7.24;-4.186;0.566;5.43;1.923;15.385;-0.339;-5.09
22;Dilma Rousseff;2014;180230;PT;Partidos Socialistas;Com a Força do Povo; PT, PMDB, PSD, PP, PR, PROS, PDT, PC do B e PRB;9;3.27;6.713;12.22;35.972;29.948;4.303;7.573;0;0;0;0.172;0;0;0.344;2.065;0.516;0.172;0;0.516;1.205;4.303;0;0;0.516;0;0.172;2.065;0.172;3.614;0.688;5.164;0.344;0;0.172;0;0.172;4.819;0.688;0.344;0;0.344;0;2.582;1.377;7.229;13.081;1.549;0.172;1.377;0.172;0;2.065;1.549;3.442;9.294;7.573;0;8.09;0;0.344;0.172;0;0;0;3.098;0;0.688;0;0;0;0;0;3.787;0;2.238;0;0.688;0.344;0.516;-7.917;-10.155;0.344;1.549;2.582;16.867;-0.172;-12.048
20;Marina Silva;2014;180240;PSB;Partidos Socialistas;Unidos pelo Brasil; PSB, PHS, PRP, PPS, PPL e PSL;6;1.246;8.673;10.359;22.966;36.477;9.431;10.848;0.098;0;0.024;0;0;0;0.024;0.318;0.244;0;0.635;0;1.686;5.082;0.073;0.049;0.098;1.27;0.415;1.71;0.098;3.934;1.222;2.859;0.464;0.073;0;0;1.759;2.59;0.269;0.147;0.073;0.073;1.93;0.684;0.342;0.928;7.647;0;0;1.417;0;0.024;5.082;4.202;6.401;8.478;8.967;0.195;8.234;0;0.195;0.244;0;0;0;4.789;0;1.002;0.122;1.857;0;1.222;0;2.468;0.244;2.468;0;0;2.101;3.567;-7.085;-13.462;0.195;3.176;0.415;17.444;-2.345;-5.473
23;Ciro Gomes;2018;180251;PDT;Partido Social Democrata;Brasil Soberano; PDT e AVANTE;2;7.439;1.7;5.526;28.268;39.639;7.651;9.777;0;0.425;2.232;0.213;2.444;0.106;0.319;0.744;0.956;0;0;0;0.319;1.382;0;0;0;0;0;0.425;0.106;2.869;1.7;0.425;0;0;0;0;0.744;6.164;1.063;1.7;0.319;0.744;0.106;0.213;1.7;2.657;6.801;0;0.956;2.019;0;0;3.082;0.85;3.082;10.733;13.177;1.063;10.733;0;0.106;0;0;0;0;5.526;1.7;0.213;0;0;0;0.106;0;6.057;0;1.488;0;0;0.213;2.019;-12.646;-3.294;0.106;2.763;2.763;23.911;2.869;-18.597
26;Fernando Haddad;2018;180230;PT;Partidos Socialistas;O Povo Feliz de Novo; PT, PCdoB e PROS;3;4.917;11.011;7.548;27.147;33.587;6.648;9.141;0.208;0;1.385;0;1.039;0;0.485;0.9;1.108;0;0;0;2.909;5.125;0;0;1.524;1.177;0.277;3.393;0.069;1.662;0.97;0.554;0.9;0;0;0;0.139;1.177;4.64;0.554;0.139;0.208;0;0;2.493;0.346;5.471;0.762;2.147;0.069;0;0;9.003;1.939;5.055;8.518;10.734;0.416;6.925;0;0;0;0.069;0;0;3.601;1.662;0.623;0.346;0.139;0;0.208;0;3.74;0;2.909;0;0;1.524;0.97;-28.878;-7.479;0;0.208;5.956;19.252;-10.319;-24.515
24;Geraldo Alckmin;2018;180310;PSDB;Partidos Conservadores;Para Unir o Brasil; PSDB, PTB, PP, PR, DEM, SOLIDARIEDADE, PPS, PRB e PSD;9;3.977;4.64;14.416;31.566;33.969;6.711;4.722;0;0;0;0;2.071;0;0;1.16;0.58;0;0.166;0.166;2.486;1.491;0.083;0.083;0;0.331;0;3.894;0.497;7.374;1.574;0.083;0.994;0;0;0;3.977;1.16;0.58;0;0;0.083;3.065;0;0.083;0.829;11.102;0.083;0;4.474;0;0;6.131;1.906;5.8;5.22;7.954;2.9;9.611;0.58;0.663;0;0;0;0;4.474;0.331;0.083;0;0.083;0.663;0.414;0;1.408;0;1.988;0;0;0.911;0.414;0.663;-2.817;0.663;8.451;0.663;13.173;-2.154;4.722
25;Jair Messias Bolsonaro;2018;180620;PSL;Partidos Nacionalistas;Brasil Acima de Tudo / Deus Acima de Todos; PSL e PRTB;2;3.082;10.788;9.418;38.699;15.753;17.466;4.795;0;0;0;0;2.397;0;0;0.514;0.171;0;0;3.767;1.37;1.712;2.226;0;0;1.541;0.171;1.37;0.514;1.199;5.308;0;0.856;0.171;0;0;14.726;1.027;0;0;0;0;3.425;0;0;2.568;7.705;0;0;8.39;0;0;0.856;0;0.171;2.055;4.11;1.712;5.479;2.226;1.37;0.171;0;2.055;0;13.185;0;0.171;0;0.171;0.171;0;0.171;1.884;1.199;1.541;0;0;0;0.171;24.315;16.096;3.596;23.116;0;6.164;4.452;40.24
